epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1894.88,0.63292,2.26139,1.18467,0.79057,0.78019,0.83181,0.71245,0.61388,0.80252,1.01851,0.0700153,0.00333163,0.00333163
2,2736.46,0.55135,0.82674,1.09291,0.81573,0.88787,0.90837,0.78194,0.62189,0.66354,1.03297,0.0398538,0.00650349,0.00650349
3,4113.5,0.54216,0.6471,1.08593,0.82272,0.89411,0.9025,0.75961,0.64758,0.55714,1.06152,0.00907009,0.0090531,0.0090531
4,5268.74,0.51614,0.52047,1.06615,0.89207,0.93102,0.91259,0.7988,0.55432,0.45392,0.98545,0.00795954,0.00795954,0.00795954
5,6076.97,0.47144,0.40604,1.03494,0.90301,0.97335,0.94189,0.84302,0.50751,0.34088,0.93814,0.00657963,0.00657963,0.00657963
6,7381.49,0.43315,0.33101,1.01117,0.91946,0.95375,0.94569,0.84317,0.55772,0.33241,0.96017,0.00505,0.00505,0.00505
7,8999.32,0.40005,0.28156,0.99228,0.95536,0.96549,0.97563,0.88264,0.5021,0.2875,0.92691,0.00352037,0.00352037,0.00352037
8,9845.13,0.37595,0.23931,0.97516,0.9645,0.97838,0.98301,0.90985,0.44774,0.2576,0.89295,0.00214046,0.00214046,0.00214046
9,10783.1,0.35515,0.21232,0.96559,0.97857,0.97429,0.98562,0.92071,0.41267,0.2366,0.87329,0.00104537,0.00104537,0.00104537
10,12205.1,0.33837,0.19322,0.95839,0.97838,0.97434,0.98685,0.92472,0.4131,0.23007,0.86966,0.00034227,0.00034227,0.00034227
